t	S	I	R
0	699	1	300
0.1	698.916	1.02393	300.06
0.2	698.83	1.04842	300.122
0.3	698.742	1.07348	300.185
0.4	698.652	1.09913	300.249
0.5	698.559	1.12538	300.315
0.6	698.465	1.15225	300.383
0.7	698.368	1.17975	300.452
0.8	698.269	1.20788	300.523
0.9	698.168	1.23668	300.596
1	698.064	1.26614	300.67
1.1	697.957	1.29629	300.746
1.2	697.849	1.32715	300.824
1.3	697.737	1.35872	300.904
1.4	697.623	1.39102	300.986
1.5	697.507	1.42407	301.069
1.6	697.387	1.45789	301.155
1.7	697.265	1.49249	301.243
1.8	697.14	1.52788	301.332
1.9	697.012	1.5641	301.424
2	696.881	1.60115	301.518
2.1	696.747	1.63905	301.614
2.2	696.609	1.67782	301.713
2.3	696.469	1.71748	301.814
2.4	696.325	1.75805	301.917
2.5	696.178	1.79954	302.023
2.6	696.027	1.84199	302.131
2.7	695.873	1.8854	302.242
2.8	695.715	1.9298	302.355
2.9	695.554	1.97521	302.471
3	695.389	2.02165	302.59
3.1	695.22	2.06914	302.711
3.2	695.047	2.1177	302.836
3.3	694.87	2.16736	302.963
3.4	694.689	2.21814	303.093
3.5	694.503	2.27005	303.227
3.6	694.314	2.32314	303.363
3.7	694.12	2.37741	303.503
3.8	693.921	2.43289	303.646
3.9	693.718	2.48961	303.792
4	693.511	2.54759	303.942
4.1	693.298	2.60686	304.095
4.2	693.081	2.66744	304.252
4.3	692.859	2.72936	304.412
4.4	692.631	2.79264	304.576
4.5	692.399	2.85731	304.744
4.6	692.161	2.9234	304.916
4.7	691.918	2.99093	305.091
4.8	691.669	3.05994	305.271
4.9	691.414	3.13045	305.455
5	691.154	3.20248	305.643
5.1	690.888	3.27607	305.836
5.2	690.616	3.35125	306.033
5.3	690.338	3.42805	306.234
5.4	690.053	3.50648	306.44
5.5	689.762	3.5866	306.651
5.6	689.465	3.66841	306.867
5.7	689.161	3.75196	307.087
5.8	688.85	3.83728	307.313
5.9	688.532	3.92439	307.543
6	688.207	4.01333	307.779
6.1	687.875	4.10413	308.021
6.2	687.536	4.19682	308.267
6.3	687.189	4.29143	308.52
6.4	686.834	4.38799	308.778
6.5	686.472	4.48654	309.041
6.6	686.102	4.5871	309.311
6.7	685.724	4.68972	309.587
6.8	685.337	4.79441	309.869
6.9	684.942	4.90122	310.157
7	684.538	5.01017	310.451
7.1	684.126	5.12131	310.753
7.2	683.705	5.23465	311.06
7.3	683.275	5.35024	311.375
7.4	682.835	5.46809	311.697
7.5	682.386	5.58826	312.025
7.6	681.928	5.71077	312.361
7.7	681.46	5.83564	312.705
7.8	680.982	5.96291	313.055
7.9	680.494	6.09262	313.414
8	679.995	6.22479	313.78
8.1	679.486	6.35945	314.154
8.2	678.967	6.49664	314.536
8.3	678.437	6.63638	314.927
8.4	677.896	6.77869	315.326
8.5	677.343	6.92362	315.733
8.6	676.779	7.07119	316.149
8.7	676.204	7.22142	316.574
8.8	675.617	7.37434	317.008
8.9	675.018	7.52997	317.452
9	674.407	7.68835	317.904
9.1	673.784	7.84949	318.366
9.2	673.148	8.01342	318.838
9.3	672.5	8.18016	319.32
9.4	671.839	8.34973	319.811
9.5	671.165	8.52214	320.313
9.6	670.477	8.69743	320.826
9.7	669.776	8.87559	321.348
9.8	669.062	9.05666	321.882
9.9	668.333	9.24064	322.426
10	667.591	9.42755	322.981
10.1	666.835	9.61739	323.548
10.2	666.064	9.81018	324.126
10.3	665.278	10.0059	324.716
10.4	664.478	10.2046	325.317
10.5	663.663	10.4063	325.93
10.6	662.833	10.6109	326.556
10.7	661.988	10.8185	327.193
10.8	661.127	11.029	327.843
10.9	660.251	11.2425	328.506
11	659.359	11.459	329.182
11.1	658.451	11.6784	329.871
11.2	657.527	11.9006	330.572
11.3	656.587	12.1259	331.288
11.4	655.63	12.3539	332.016
11.5	654.656	12.5849	332.759
11.6	653.666	12.8187	333.515
11.7	652.659	13.0553	334.285
11.8	651.636	13.2947	335.07
11.9	650.595	13.5368	335.869
12	649.536	13.7817	336.682
12.1	648.461	14.0292	337.51
12.2	647.367	14.2794	338.353
12.3	646.257	14.5321	339.211
12.4	645.128	14.7874	340.084
12.5	643.982	15.0451	340.973
12.6	642.818	15.3052	341.877
12.7	641.636	15.5677	342.797
12.8	640.436	15.8325	343.732
12.9	639.217	16.0995	344.683
13	637.981	16.3687	345.651
13.1	636.726	16.6398	346.634
13.2	635.453	16.913	347.634
13.3	634.162	17.1881	348.65
13.4	632.852	17.4649	349.683
13.5	631.525	17.7435	350.732
13.6	630.178	18.0237	351.798
13.7	628.814	18.3054	352.881
13.8	627.431	18.5884	353.98
13.9	626.03	18.8728	355.097
14	624.611	19.1583	356.231
14.1	623.173	19.4449	357.382
14.2	621.718	19.7323	358.55
14.3	620.244	20.0206	359.735
14.4	618.752	20.3096	360.938
14.5	617.243	20.599	362.158
14.6	615.716	20.8888	363.396
14.7	614.171	21.1789	364.65
14.8	612.608	21.4691	365.923
14.9	611.029	21.7592	367.212
15	609.432	22.0491	368.519
15.1	607.818	22.3386	369.843
15.2	606.187	22.6275	371.185
15.3	604.54	22.9158	372.544
15.4	602.876	23.2032	373.921
15.5	601.196	23.4895	375.314
15.6	599.5	23.7747	376.725
15.7	597.789	24.0584	378.153
15.8	596.061	24.3406	379.598
15.9	594.319	24.621	381.06
16	592.562	24.8995	382.538
16.1	590.79	25.1759	384.034
16.2	589.004	25.45	385.546
16.3	587.204	25.7216	387.074
16.4	585.391	25.9905	388.619
16.5	583.564	26.2566	390.179
16.6	581.724	26.5196	391.756
16.7	579.872	26.7794	393.349
16.8	578.007	27.0358	394.957
16.9	576.131	27.2886	396.58
17	574.244	27.5375	398.219
17.1	572.345	27.7825	399.872
17.2	570.436	28.0234	401.54
17.3	568.517	28.2599	403.223
17.4	566.588	28.4918	404.92
17.5	564.651	28.7191	406.63
17.6	562.704	28.9415	408.355
17.7	560.749	29.1588	410.092
17.8	558.786	29.3709	411.843
17.9	556.816	29.5777	413.606
18	554.839	29.7789	415.382
18.1	552.856	29.9744	417.169
18.2	550.867	30.164	418.969
18.3	548.873	30.3476	420.78
18.4	546.874	30.5251	422.601
18.5	544.87	30.6962	424.434
18.6	542.863	30.861	426.276
18.7	540.852	31.0191	428.129
18.8	538.839	31.1706	429.991
18.9	536.823	31.3153	431.862
19	534.806	31.4531	433.741
19.1	532.787	31.5839	435.629
19.2	530.768	31.7076	437.525
19.3	528.748	31.824	439.428
19.4	526.729	31.9332	441.338
19.5	524.711	32.035	443.254
19.6	522.694	32.1294	445.177
19.7	520.679	32.2163	447.105
19.8	518.666	32.2956	449.038
19.9	516.656	32.3673	450.976
20	514.65	32.4313	452.919
20.1	512.647	32.4877	454.865
20.2	510.649	32.5364	456.815
20.3	508.656	32.5773	458.767
20.4	506.668	32.6105	460.722
20.5	504.686	32.6359	462.678
20.6	502.71	32.6537	464.637
20.7	500.74	32.6636	466.596
20.8	498.778	32.6659	468.556
20.9	496.824	32.6605	470.516
21	494.877	32.6474	472.475
21.1	492.939	32.6267	474.434
21.2	491.01	32.5984	476.392
21.3	489.09	32.5626	478.347
21.4	487.18	32.5194	480.301
21.5	485.28	32.4687	482.252
21.6	483.39	32.4108	484.2
21.7	481.511	32.3456	486.144
21.8	479.643	32.2732	488.084
21.9	477.786	32.1938	490.02
22	475.941	32.1074	491.951
22.1	474.108	32.0141	493.877
22.2	472.288	31.9141	495.798
22.3	470.481	31.8074	497.712
22.4	468.686	31.6942	499.62
22.5	466.904	31.5746	501.521
22.6	465.136	31.4487	503.415
22.7	463.382	31.3166	505.301
22.8	461.642	31.1785	507.179
22.9	459.916	31.0345	509.049
23	458.205	30.8848	510.911
23.1	456.508	30.7294	512.763
23.2	454.825	30.5686	514.606
23.3	453.158	30.4024	516.439
23.4	451.506	30.2311	518.263
23.5	449.87	30.0548	520.076
23.6	448.248	29.8736	521.878
23.7	446.643	29.6877	523.669
23.8	445.053	29.4972	525.45
23.9	443.479	29.3024	527.219
24	441.921	29.1033	528.976
24.1	440.379	28.9001	530.721
24.2	438.853	28.693	532.454
24.3	437.343	28.4822	534.174
24.4	435.85	28.2678	535.882
24.5	434.373	28.0499	537.577
24.6	432.912	27.8287	539.259
24.7	431.468	27.6044	540.928
24.8	430.04	27.3772	542.583
24.9	428.629	27.1471	544.224
25	427.234	26.9144	545.852
25.1	425.855	26.6792	547.466
25.2	424.493	26.4416	549.065
25.3	423.148	26.2019	550.651
25.4	421.818	25.9601	552.221
25.5	420.506	25.7164	553.778
25.6	419.209	25.4709	555.32
25.7	417.93	25.2238	556.847
25.8	416.666	24.9753	558.359
25.9	415.418	24.7254	559.856
26	414.187	24.4744	561.338
26.1	412.972	24.2223	562.806
26.2	411.773	23.9693	564.258
26.3	410.59	23.7154	565.695
26.4	409.423	23.4609	567.116
26.5	408.272	23.2059	568.523
26.6	407.136	22.9504	569.914
26.7	406.016	22.6947	571.289
26.8	404.912	22.4387	572.65
26.9	403.823	22.1827	573.995
27	402.749	21.9266	575.324
27.1	401.69	21.6708	576.639
27.2	400.647	21.4151	577.938
27.3	399.619	21.1599	579.221
27.4	398.605	20.905	580.49
27.5	397.607	20.6507	581.743
27.6	396.622	20.397	582.981
27.7	395.653	20.1441	584.203
27.8	394.698	19.8919	585.41
27.9	393.757	19.6406	586.603
28	392.83	19.3903	587.78
28.1	391.917	19.141	588.942
28.2	391.018	18.8929	590.089
28.3	390.132	18.6459	591.222
28.4	389.261	18.4002	592.339
28.5	388.402	18.1558	593.442
28.6	387.557	17.9127	594.53
28.7	386.725	17.6712	595.604
28.8	385.906	17.4311	596.663
28.9	385.1	17.1926	597.707
29	384.307	16.9556	598.738
29.1	383.526	16.7204	599.754
29.2	382.757	16.4868	600.756
29.3	382.001	16.255	601.744
29.4	381.257	16.025	602.718
29.5	380.525	15.7968	603.679
29.6	379.804	15.5705	604.625
29.7	379.096	15.3461	605.558
29.8	378.398	15.1236	606.478
29.9	377.713	14.9031	607.384
30	377.038	14.6845	608.277
30.1	376.375	14.468	609.157
30.2	375.722	14.2536	610.024
30.3	375.08	14.0412	610.879
30.4	374.449	13.8309	611.72
30.5	373.829	13.6227	612.549
30.6	373.218	13.4166	613.365
30.7	372.618	13.2126	614.169
30.8	372.028	13.0109	614.961
30.9	371.448	12.8112	615.74
31	370.878	12.6138	616.508
31.1	370.317	12.4185	617.264
31.2	369.766	12.2254	618.008
31.3	369.225	12.0346	618.741
31.4	368.692	11.8459	619.462
31.5	368.169	11.6594	620.172
31.6	367.655	11.4752	620.87
31.7	367.149	11.2931	621.558
31.8	366.652	11.1132	622.235
31.9	366.164	10.9356	622.9
32	365.684	10.7601	623.556
32.1	365.213	10.5869	624.2
32.2	364.749	10.4158	624.835
32.3	364.294	10.247	625.459
32.4	363.847	10.0803	626.073
32.5	363.407	9.91577	626.677
32.6	362.976	9.75342	627.271
32.7	362.551	9.59322	627.855
32.8	362.135	9.43517	628.43
32.9	361.725	9.27925	628.996
33	361.323	9.12546	629.552
33.1	360.928	8.97377	630.098
33.2	360.54	8.82419	630.636
33.3	360.159	8.67668	631.165
33.4	359.784	8.53125	631.685
33.5	359.416	8.38788	632.196
33.6	359.055	8.24654	632.698
33.7	358.7	8.10723	633.192
33.8	358.352	7.96993	633.678
33.9	358.01	7.83462	634.156
34	357.674	7.70129	634.625
34.1	357.344	7.56992	635.087
34.2	357.019	7.4405	635.54
34.3	356.701	7.31299	635.986
34.4	356.389	7.1874	636.424
34.5	356.082	7.06369	636.855
34.6	355.78	6.94185	637.278
34.7	355.484	6.82187	637.694
34.8	355.194	6.70371	638.102
34.9	354.908	6.58738	638.504
35	354.628	6.47283	638.899
35.1	354.353	6.36006	639.287
35.2	354.083	6.24905	639.668
35.3	353.818	6.13977	640.042
35.4	353.558	6.03221	640.41
35.5	353.302	5.92634	640.771
35.6	353.051	5.82216	641.126
35.7	352.805	5.71963	641.475
35.8	352.563	5.61873	641.818
35.9	352.326	5.51946	642.154
36	352.093	5.42178	642.485
36.1	351.864	5.32568	642.81
36.2	351.64	5.23114	643.129
36.3	351.419	5.13813	643.442
