t	S	I	R
0	999	1	0
0.01	998.998	1.001	0.00100067
0.02	998.996	1.002	0.00200233
0.03	998.994	1.003	0.003005
0.04	998.992	1.004	0.00400866
0.05	998.99	1.005	0.00501333
0.06	998.988	1.00601	0.006019
0.07	998.986	1.00701	0.00702568
0.08	998.984	1.00802	0.00803336
0.09	998.982	1.00902	0.00904205
0.1	998.98	1.01003	0.0100517
0.11	998.978	1.01104	0.0110624
0.12	998.976	1.01205	0.0120742
0.13	998.974	1.01306	0.0130869
0.14	998.972	1.01407	0.0141006
0.15	998.97	1.01508	0.0151154
0.16	998.968	1.0161	0.0161311
0.17	998.966	1.01711	0.0171479
0.18	998.964	1.01813	0.0181657
0.19	998.962	1.01915	0.0191845
0.2	998.96	1.02016	0.0202043
0.21	998.958	1.02118	0.0212252
0.22	998.956	1.0222	0.022247
0.23	998.954	1.02322	0.0232699
0.24	998.951	1.02424	0.0242938
0.25	998.949	1.02527	0.0253187
0.26	998.947	1.02629	0.0263447
0.27	998.945	1.02732	0.0273717
0.28	998.943	1.02834	0.0283997
0.29	998.941	1.02937	0.0294287
0.3	998.939	1.0304	0.0304587
0.31	998.937	1.03142	0.0314898
0.32	998.935	1.03245	0.0325219
0.33	998.933	1.03349	0.0335551
0.34	998.931	1.03452	0.0345892
0.35	998.929	1.03555	0.0356245
0.36	998.927	1.03658	0.0366607
0.37	998.925	1.03762	0.037698
0.38	998.923	1.03866	0.0387363
0.39	998.921	1.03969	0.0397756
0.4	998.918	1.04073	0.040816
0.41	998.916	1.04177	0.0418574
0.42	998.914	1.04281	0.0428999
0.43	998.912	1.04385	0.0439434
0.44	998.91	1.04489	0.0449879
0.45	998.908	1.04594	0.0460335
0.46	998.906	1.04698	0.0470802
0.47	998.904	1.04803	0.0481278
0.48	998.902	1.04907	0.0491766
0.49	998.9	1.05012	0.0502263
0.5	998.898	1.05117	0.0512772
0.51	998.895	1.05222	0.052329
0.52	998.893	1.05327	0.0533819
0.53	998.891	1.05432	0.0544359
0.54	998.889	1.05537	0.0554909
0.55	998.887	1.05643	0.056547
0.56	998.885	1.05748	0.0576041
0.57	998.883	1.05854	0.0586623
0.58	998.881	1.05959	0.0597216
0.59	998.879	1.06065	0.0607819
0.6	998.876	1.06171	0.0618432
0.61	998.874	1.06277	0.0629057
0.62	998.872	1.06383	0.0639691
0.63	998.87	1.0649	0.0650337
0.64	998.868	1.06596	0.0660993
0.65	998.866	1.06702	0.0671659
0.66	998.864	1.06809	0.0682337
0.67	998.862	1.06915	0.0693025
0.68	998.859	1.07022	0.0703723
0.69	998.857	1.07129	0.0714433
0.7	998.855	1.07236	0.0725153
0.71	998.853	1.07343	0.0735884
0.72	998.851	1.0745	0.0746625
0.73	998.849	1.07557	0.0757377
0.74	998.847	1.07665	0.076814
0.75	998.844	1.07772	0.0778914
0.76	998.842	1.0788	0.0789698
0.77	998.84	1.07988	0.0800493
0.78	998.838	1.08095	0.0811299
0.79	998.836	1.08203	0.0822116
0.8	998.834	1.08311	0.0832943
0.81	998.831	1.0842	0.0843782
0.82	998.829	1.08528	0.0854631
0.83	998.827	1.08636	0.0865491
0.84	998.825	1.08745	0.0876362
0.85	998.823	1.08853	0.0887244
0.86	998.821	1.08962	0.0898136
0.87	998.818	1.09071	0.0909039
0.88	998.816	1.09179	0.0919954
0.89	998.814	1.09288	0.0930879
0.9	998.812	1.09398	0.0941815
0.91	998.81	1.09507	0.0952762
0.92	998.807	1.09616	0.096372
0.93	998.805	1.09725	0.0974689
0.94	998.803	1.09835	0.0985669
0.95	998.801	1.09945	0.099666
0.96	998.799	1.10054	0.100766
0.97	998.796	1.10164	0.101867
0.98	998.794	1.10274	0.10297
0.99	998.792	1.10384	0.104073
1	998.79	1.10495	0.105178
1.01	998.788	1.10605	0.106284
1.02	998.785	1.10715	0.10739
1.03	998.783	1.10826	0.108498
1.04	998.781	1.10936	0.109607
1.05	998.779	1.11047	0.110717
1.06	998.777	1.11158	0.111829
1.07	998.774	1.11269	0.112941
1.08	998.772	1.1138	0.114054
1.09	998.77	1.11491	0.115169
1.1	998.768	1.11602	0.116284
1.11	998.765	1.11714	0.117401
1.12	998.763	1.11825	0.118519
1.13	998.761	1.11937	0.119638
1.14	998.759	1.12049	0.120758
1.15	998.757	1.12161	0.121879
1.16	998.754	1.12273	0.123002
1.17	998.752	1.12385	0.124125
1.18	998.75	1.12497	0.12525
1.19	998.748	1.12609	0.126376
1.2	998.745	1.12721	0.127502
1.21	998.743	1.12834	0.12863
1.22	998.741	1.12947	0.129759
1.23	998.739	1.13059	0.13089
1.24	998.736	1.13172	0.132021
1.25	998.734	1.13285	0.133154
1.26	998.732	1.13398	0.134287
1.27	998.729	1.13511	0.135422
1.28	998.727	1.13625	0.136558
1.29	998.725	1.13738	0.137695
1.3	998.723	1.13852	0.138833
1.31	998.72	1.13965	0.139972
1.32	998.718	1.14079	0.141113
1.33	998.716	1.14193	0.142254
1.34	998.714	1.14307	0.143397
1.35	998.711	1.14421	0.144541
1.36	998.709	1.14535	0.145686
1.37	998.707	1.14649	0.146832
1.38	998.704	1.14764	0.147979
1.39	998.702	1.14878	0.149127
1.4	998.7	1.14993	0.150277
1.41	998.697	1.15108	0.151428
1.42	998.695	1.15223	0.152579
1.43	998.693	1.15338	0.153732
1.44	998.691	1.15453	0.154887
1.45	998.688	1.15568	0.156042
1.46	998.686	1.15683	0.157198
1.47	998.684	1.15799	0.158356
1.48	998.681	1.15914	0.159515
1.49	998.679	1.1603	0.160675
1.5	998.677	1.16146	0.161836
1.51	998.674	1.16262	0.162998
1.52	998.672	1.16378	0.164161
1.53	998.67	1.16494	0.165326
1.54	998.667	1.1661	0.166492
1.55	998.665	1.16727	0.167658
1.56	998.663	1.16843	0.168827
1.57	998.66	1.1696	0.169996
1.58	998.658	1.17077	0.171166
1.59	998.656	1.17193	0.172338
1.6	998.653	1.1731	0.17351
1.61	998.651	1.17427	0.174684
1.62	998.649	1.17545	0.175859
1.63	998.646	1.17662	0.177036
1.64	998.644	1.17779	0.178213
1.65	998.642	1.17897	0.179391
1.66	998.639	1.18014	0.180571
1.67	998.637	1.18132	0.181752
1.68	998.635	1.1825	0.182934
1.69	998.632	1.18368	0.184118
1.7	998.63	1.18486	0.185302
1.71	998.627	1.18605	0.186488
1.72	998.625	1.18723	0.187675
1.73	998.623	1.18841	0.188863
1.74	998.62	1.1896	0.190052
1.75	998.618	1.19079	0.191242
1.76	998.616	1.19197	0.192434
1.77	998.613	1.19316	0.193626
1.78	998.611	1.19435	0.19482
1.79	998.608	1.19555	0.196016
1.8	998.606	1.19674	0.197212
1.81	998.604	1.19793	0.198409
1.82	998.601	1.19913	0.199608
1.83	998.599	1.20033	0.200808
1.84	998.596	1.20152	0.202009
1.85	998.594	1.20272	0.203212
1.86	998.592	1.20392	0.204415
1.87	998.589	1.20512	0.20562
1.88	998.587	1.20633	0.206826
1.89	998.584	1.20753	0.208033
1.9	998.582	1.20874	0.209241
1.91	998.58	1.20994	0.210451
1.92	998.577	1.21115	0.211661
1.93	998.575	1.21236	0.212873
1.94	998.572	1.21357	0.214087
1.95	998.57	1.21478	0.215301
1.96	998.567	1.21599	0.216517
1.97	998.565	1.2172	0.217733
1.98	998.563	1.21842	0.218951
1.99	998.56	1.21963	0.220171
2	998.558	1.22085	0.221391
2.01	998.555	1.22207	0.222613
2.02	998.553	1.22329	0.223836
2.03	998.55	1.22451	0.22506
2.04	998.548	1.22573	0.226285
2.05	998.546	1.22695	0.227512
2.06	998.543	1.22818	0.228739
2.07	998.541	1.2294	0.229968
2.08	998.538	1.23063	0.231199
2.09	998.536	1.23186	0.23243
2.1	998.533	1.23309	0.233663
2.11	998.531	1.23432	0.234897
2.12	998.528	1.23555	0.236132
2.13	998.526	1.23678	0.237368
2.14	998.523	1.23801	0.238606
2.15	998.521	1.23925	0.239845
2.16	998.518	1.24049	0.241085
2.17	998.516	1.24172	0.242326
2.18	998.513	1.24296	0.243568
2.19	998.511	1.2442	0.244812
2.2	998.508	1.24544	0.246057
2.21	998.506	1.24669	0.247304
2.22	998.504	1.24793	0.248551
2.23	998.501	1.24918	0.2498
2.24	998.499	1.25042	0.25105
2.25	998.496	1.25167	0.252301
2.26	998.494	1.25292	0.253554
2.27	998.491	1.25417	0.254807
2.28	998.489	1.25542	0.256062
2.29	998.486	1.25667	0.257319
2.3	998.483	1.25793	0.258576
2.31	998.481	1.25918	0.259835
2.32	998.478	1.26044	0.261095
2.33	998.476	1.26169	0.262356
2.34	998.473	1.26295	0.263619
2.35	998.471	1.26421	0.264882
2.36	998.468	1.26547	0.266148
2.37	998.466	1.26674	0.267414
2.38	998.463	1.268	0.268681
2.39	998.461	1.26926	0.26995
2.4	998.458	1.27053	0.27122
