t	S	I	R
0	572	1	427
0.01	571.999	1.00014	427.001
0.02	571.998	1.00029	427.002
0.03	571.997	1.00043	427.003
0.04	571.995	1.00058	427.004
0.05	571.994	1.00072	427.005
0.06	571.993	1.00086	427.006
0.07	571.992	1.00101	427.007
0.08	571.991	1.00115	427.008
0.09	571.99	1.0013	427.009
0.1	571.989	1.00144	427.01
0.11	571.987	1.00159	427.011
0.12	571.986	1.00173	427.012
0.13	571.985	1.00187	427.013
0.14	571.984	1.00202	427.014
0.15	571.983	1.00216	427.015
0.16	571.982	1.00231	427.016
0.17	571.981	1.00245	427.017
0.18	571.979	1.0026	427.018
0.19	571.978	1.00274	427.019
0.2	571.977	1.00288	427.02
0.21	571.976	1.00303	427.021
0.22	571.975	1.00317	427.022
0.23	571.974	1.00332	427.023
0.24	571.972	1.00346	427.024
0.25	571.971	1.00361	427.025
0.26	571.97	1.00375	427.026
0.27	571.969	1.00389	427.027
0.28	571.968	1.00404	427.028
0.29	571.967	1.00418	427.029
0.3	571.966	1.00433	427.03
0.31	571.964	1.00447	427.031
0.32	571.963	1.00462	427.032
0.33	571.962	1.00476	427.033
0.34	571.961	1.00491	427.034
0.35	571.96	1.00505	427.035
0.36	571.959	1.0052	427.036
0.37	571.958	1.00534	427.037
0.38	571.956	1.00549	427.038
0.39	571.955	1.00563	427.039
0.4	571.954	1.00577	427.04
0.41	571.953	1.00592	427.041
0.42	571.952	1.00606	427.042
0.43	571.951	1.00621	427.043
0.44	571.95	1.00635	427.044
0.45	571.948	1.0065	427.045
0.46	571.947	1.00664	427.046
0.47	571.946	1.00679	427.047
0.48	571.945	1.00693	427.048
0.49	571.944	1.00708	427.049
0.5	571.943	1.00722	427.05
0.51	571.941	1.00737	427.051
0.52	571.94	1.00751	427.052
0.53	571.939	1.00766	427.053
0.54	571.938	1.0078	427.054
0.55	571.937	1.00795	427.055
0.56	571.936	1.00809	427.056
0.57	571.935	1.00824	427.057
0.58	571.933	1.00838	427.058
0.59	571.932	1.00853	427.059
0.6	571.931	1.00867	427.06
0.61	571.93	1.00882	427.061
0.62	571.929	1.00896	427.062
0.63	571.928	1.00911	427.063
0.64	571.926	1.00925	427.064
0.65	571.925	1.0094	427.065
0.66	571.924	1.00954	427.066
0.67	571.923	1.00969	427.067
0.68	571.922	1.00983	427.068
0.69	571.921	1.00998	427.069
0.7	571.92	1.01013	427.07
0.71	571.918	1.01027	427.071
0.72	571.917	1.01042	427.072
0.73	571.916	1.01056	427.073
0.74	571.915	1.01071	427.074
0.75	571.914	1.01085	427.075
0.76	571.913	1.011	427.076
0.77	571.911	1.01114	427.077
0.78	571.91	1.01129	427.078
0.79	571.909	1.01143	427.079
0.8	571.908	1.01158	427.08
0.81	571.907	1.01172	427.081
0.82	571.906	1.01187	427.082
0.83	571.904	1.01202	427.083
0.84	571.903	1.01216	427.085
0.85	571.902	1.01231	427.086
0.86	571.901	1.01245	427.087
0.87	571.9	1.0126	427.088
0.88	571.899	1.01274	427.089
0.89	571.898	1.01289	427.09
0.9	571.896	1.01304	427.091
0.91	571.895	1.01318	427.092
0.92	571.894	1.01333	427.093
0.93	571.893	1.01347	427.094
0.94	571.892	1.01362	427.095
0.95	571.891	1.01376	427.096
0.96	571.889	1.01391	427.097
0.97	571.888	1.01406	427.098
0.98	571.887	1.0142	427.099
0.99	571.886	1.01435	427.1
1	571.885	1.01449	427.101
1.01	571.884	1.01464	427.102
1.02	571.882	1.01478	427.103
1.03	571.881	1.01493	427.104
1.04	571.88	1.01508	427.105
1.05	571.879	1.01522	427.106
1.06	571.878	1.01537	427.107
1.07	571.877	1.01551	427.108
1.08	571.875	1.01566	427.109
1.09	571.874	1.01581	427.11
1.1	571.873	1.01595	427.111
1.11	571.872	1.0161	427.112
1.12	571.871	1.01624	427.113
1.13	571.87	1.01639	427.114
1.14	571.869	1.01654	427.115
1.15	571.867	1.01668	427.116
1.16	571.866	1.01683	427.117
1.17	571.865	1.01698	427.118
1.18	571.864	1.01712	427.119
1.19	571.863	1.01727	427.12
1.2	571.862	1.01741	427.121
1.21	571.86	1.01756	427.122
1.22	571.859	1.01771	427.123
1.23	571.858	1.01785	427.124
1.24	571.857	1.018	427.125
1.25	571.856	1.01815	427.126
1.26	571.855	1.01829	427.127
1.27	571.853	1.01844	427.128
1.28	571.852	1.01858	427.129
1.29	571.851	1.01873	427.13
1.3	571.85	1.01888	427.131
1.31	571.849	1.01902	427.132
1.32	571.848	1.01917	427.133
1.33	571.846	1.01932	427.134
1.34	571.845	1.01946	427.135
1.35	571.844	1.01961	427.136
1.36	571.843	1.01976	427.137
1.37	571.842	1.0199	427.138
1.38	571.841	1.02005	427.139
1.39	571.839	1.0202	427.14
1.4	571.838	1.02034	427.141
1.41	571.837	1.02049	427.142
1.42	571.836	1.02064	427.143
1.43	571.835	1.02078	427.144
1.44	571.834	1.02093	427.146
1.45	571.832	1.02108	427.147
1.46	571.831	1.02122	427.148
1.47	571.83	1.02137	427.149
1.48	571.829	1.02152	427.15
1.49	571.828	1.02166	427.151
1.5	571.827	1.02181	427.152
1.51	571.825	1.02196	427.153
1.52	571.824	1.0221	427.154
1.53	571.823	1.02225	427.155
1.54	571.822	1.0224	427.156
1.55	571.821	1.02254	427.157
1.56	571.82	1.02269	427.158
1.57	571.818	1.02284	427.159
1.58	571.817	1.02298	427.16
1.59	571.816	1.02313	427.161
1.6	571.815	1.02328	427.162
1.61	571.814	1.02342	427.163
1.62	571.813	1.02357	427.164
1.63	571.811	1.02372	427.165
1.64	571.81	1.02387	427.166
1.65	571.809	1.02401	427.167
1.66	571.808	1.02416	427.168
1.67	571.807	1.02431	427.169
1.68	571.805	1.02445	427.17
1.69	571.804	1.0246	427.171
1.7	571.803	1.02475	427.172
1.71	571.802	1.0249	427.173
1.72	571.801	1.02504	427.174
1.73	571.8	1.02519	427.175
1.74	571.798	1.02534	427.176
1.75	571.797	1.02548	427.177
1.76	571.796	1.02563	427.178
1.77	571.795	1.02578	427.179
1.78	571.794	1.02593	427.18
1.79	571.793	1.02607	427.181
1.8	571.791	1.02622	427.182
1.81	571.79	1.02637	427.183
1.82	571.789	1.02652	427.184
1.83	571.788	1.02666	427.185
1.84	571.787	1.02681	427.186
1.85	571.786	1.02696	427.187
1.86	571.784	1.02711	427.189
1.87	571.783	1.02725	427.19
1.88	571.782	1.0274	427.191
1.89	571.781	1.02755	427.192
1.9	571.78	1.0277	427.193
1.91	571.779	1.02784	427.194
1.92	571.777	1.02799	427.195
1.93	571.776	1.02814	427.196
1.94	571.775	1.02829	427.197
1.95	571.774	1.02843	427.198
1.96	571.773	1.02858	427.199
1.97	571.771	1.02873	427.2
1.98	571.77	1.02888	427.201
1.99	571.769	1.02902	427.202
2	571.768	1.02917	427.203
2.01	571.767	1.02932	427.204
2.02	571.766	1.02947	427.205
2.03	571.764	1.02962	427.206
2.04	571.763	1.02976	427.207
2.05	571.762	1.02991	427.208
2.06	571.761	1.03006	427.209
2.07	571.76	1.03021	427.21
2.08	571.758	1.03035	427.211
2.09	571.757	1.0305	427.212
2.1	571.756	1.03065	427.213
2.11	571.755	1.0308	427.214
2.12	571.754	1.03095	427.215
2.13	571.753	1.03109	427.216
2.14	571.751	1.03124	427.217
2.15	571.75	1.03139	427.218
2.16	571.749	1.03154	427.219
2.17	571.748	1.03169	427.22
2.18	571.747	1.03183	427.221
2.19	571.746	1.03198	427.222
2.2	571.744	1.03213	427.224
2.21	571.743	1.03228	427.225
2.22	571.742	1.03243	427.226
2.23	571.741	1.03257	427.227
2.24	571.74	1.03272	427.228
2.25	571.738	1.03287	427.229
2.26	571.737	1.03302	427.23
2.27	571.736	1.03317	427.231
2.28	571.735	1.03332	427.232
2.29	571.734	1.03346	427.233
2.3	571.733	1.03361	427.234
2.31	571.731	1.03376	427.235
2.32	571.73	1.03391	427.236
2.33	571.729	1.03406	427.237
2.34	571.728	1.03421	427.238
2.35	571.727	1.03435	427.239
