t	S	I	R
0	999	1	0
0.01	998.998	1.001	0.001
0.02	998.996	1.002	0.002001
0.03	998.994	1.003	0.00300299
0.04	998.992	1.004	0.00400599
0.05	998.99	1.005	0.00500999
0.06	998.988	1.006	0.00601499
0.07	998.986	1.00701	0.00702099
0.08	998.984	1.00801	0.008028
0.09	998.982	1.00902	0.00903601
0.1	998.98	1.01002	0.010045
0.11	998.978	1.01103	0.0110551
0.12	998.976	1.01204	0.0120661
0.13	998.974	1.01305	0.0130781
0.14	998.972	1.01406	0.0140912
0.15	998.97	1.01507	0.0151052
0.16	998.968	1.01609	0.0161203
0.17	998.966	1.0171	0.0171364
0.18	998.964	1.01812	0.0181535
0.19	998.962	1.01913	0.0191716
0.2	998.96	1.02015	0.0201908
0.21	998.958	1.02117	0.0212109
0.22	998.956	1.02219	0.0222321
0.23	998.954	1.02321	0.0232543
0.24	998.951	1.02423	0.0242775
0.25	998.949	1.02525	0.0253017
0.26	998.947	1.02627	0.0263269
0.27	998.945	1.0273	0.0273532
0.28	998.943	1.02832	0.0283805
0.29	998.941	1.02935	0.0294088
0.3	998.939	1.03038	0.0304382
0.31	998.937	1.0314	0.0314686
0.32	998.935	1.03243	0.0325
0.33	998.933	1.03346	0.0335324
0.34	998.931	1.03449	0.0345659
0.35	998.929	1.03553	0.0356004
0.36	998.927	1.03656	0.0366359
0.37	998.925	1.03759	0.0376724
0.38	998.923	1.03863	0.03871
0.39	998.921	1.03967	0.0397487
0.4	998.919	1.0407	0.0407883
0.41	998.916	1.04174	0.041829
0.42	998.914	1.04278	0.0428708
0.43	998.912	1.04382	0.0439136
0.44	998.91	1.04486	0.0449574
0.45	998.908	1.04591	0.0460022
0.46	998.906	1.04695	0.0470481
0.47	998.904	1.04799	0.0480951
0.48	998.902	1.04904	0.0491431
0.49	998.9	1.05009	0.0501921
0.5	998.898	1.05113	0.0512422
0.51	998.896	1.05218	0.0522934
0.52	998.893	1.05323	0.0533455
0.53	998.891	1.05428	0.0543988
0.54	998.889	1.05534	0.0554531
0.55	998.887	1.05639	0.0565084
0.56	998.885	1.05744	0.0575648
0.57	998.883	1.0585	0.0586222
0.58	998.881	1.05955	0.0596807
0.59	998.879	1.06061	0.0607403
0.6	998.877	1.06167	0.0618009
0.61	998.874	1.06273	0.0628626
0.62	998.872	1.06379	0.0639253
